Region,Sub-region,Site        ,Habitat,Strat,Rep,Field pH,Fixed PCO2 pH,Carbonate alkalinity (M),HCO3 (ppm),Chloride.mg.L,Nitrate.mg.L,Sulphate.mg.L,Sodium.mg.L,Ammonium.mg.L,Potassium.mg.L,Calcium.mg.L,Magnesium.mg.L,CBAlk,Ka1.Ka2 term,Field pCO2,pCO2 oversatn.
Bogong High Plains,Middle Creek,New species,Pavement,Up,1,6.3,6.776,4.01901E-05,2.45159878,0.55,0.025,0.056,0.735,0,0.174,0.38,0.177,5.28661E-05,0.951057604,1197.602626,2.994006564
Bogong High Plains,Middle Creek,New species,Pavement,Up,2,5.72,6.739,3.69057E-05,2.251247832,0.482,0,0.011,0.782,0,0.094,0.541,0.29,7.34553E-05,0.250108297,4181.820363,10.45455091
Bogong High Plains,Middle Creek,New species,Pavement,Up,3,5.95,6.686,3.26633E-05,1.992459958,0.353,0,0.11,0.781,0,0.069,0.259,0.127,4.68644E-05,0.424764017,2179.275058,5.448187645
Bogong High Plains,Middle Creek,New species,Pavement,Mid,1,6.5,6.573,2.51768E-05,1.535783878,0.603,0,0.086,0.82,0,0.17,0.307,0.171,5.06081E-05,1.507541545,473.2939792,1.183234948
Bogong High Plains,Middle Creek,New species,Pavement,Mid,2,6.31,6.596,2.65467E-05,1.619350999,0.515,0,0.085,0.776,0,0.101,0.35,0.191,5.3224E-05,0.973216156,773.0397901,1.932599475
Bogong High Plains,Middle Creek,New species,Pavement,Mid,3,5.65,6.615,2.77345E-05,1.691805507,0.422,0,0.146,1.013,0,0.174,0.377,0.173,6.66193E-05,0.212874635,3692.297468,9.23074367
Bogong High Plains,Middle Creek,New species,Pavement,Low,1,6.38,6.625,2.83809E-05,1.731233197,0.541,0,0.102,0.835,0,0.146,0.308,0.168,5.18654E-05,1.143479611,703.3918163,1.758479541
Bogong High Plains,Middle Creek,New species,Pavement,Low,2,6.1,6.866,4.94531E-05,3.016636269,0.477,0,0.226,1.013,0,0.078,0.524,0.272,7.64291E-05,0.600022316,2335.746518,5.839366295
Bogong High Plains,Middle Creek,New species,Pavement,Low,3,6.2,6.724,3.5652E-05,2.174770071,0.442,0,0.128,0.983,0,0.117,0.27,0.123,5.42131E-05,0.755413695,1337.514992,3.343787481
Bogong High Plains,Middle Creek,Sister species,Pavement,Up,1,5.61,6.359,1.53788E-05,0.938106616,0.349,0,0.045,0.572,0,0.053,0.225,0.102,3.50765E-05,0.194143034,2244.918358,5.612295895
