Site,Transect,Interval,Quadrat,Wetness,Ci,Mp,Op,Da
CopeCk,1,10,1,100,5,0,30,30
CopeCk,1,20,2,100,5,5,0,5
CopeCk,1,30,3,100,0,2.5,0,0
CopeCk,1,40,4,100,20,0,0,0
CopeCk,1,50,5,100,60,0,0,0
CopeCk,1,60,6,83.33333333,0,0,0,0
CopeCk,1,70,7,83.33333333,40,0,0,0
CopeCk,1,80,8,83.33333333,10,2.5,5,0
CopeCk,1,90,9,100,40,0,10,5
CopeCk,1,100,10,100,5,0,5,0
CopeCk,1,110,11,100,30,0,0,0
CopeCk,1,120,12,100,0,0,2.5,5
CopeCk,1,130,13,100,10,0,10,50
CopeCk,1,140,14,100,5,0,10,10
CopeCk,1,150,15,100,20,0,0,0
CopeCk,1,160,16,100,30,0,10,30
CopeCk,1,170,17,100,60,0,40,60
CopeCk,1,180,18,100,30,0,60,50
CopeCk,1,190,19,100,20,0,90,5
CopeCk,1,200,20,100,0,0,90,10
CopeCk,1,210,21,100,10,0,80,10
CopeCk,1,220,22,100,30,0,40,40
CopeCk,1,230,23,100,0,0,0,0
CopeCk,1,240,24,100,0,0,0,0
CopeCk,1,250,25,100,0,0,0,0
CopeCk,1,260,26,100,10,0,0,0
CopeCk,1,270,27,100,30,0,0,0
CopeCk,1,280,28,100,5,0,0,0
CopeCk,1,290,29,100,40,0,0,0
CopeCk,1,300,30,100,5,0,5,0
CopeCk,1,310,31,100,0,0,0,0
CopeCk,1,320,32,100,0,0,0,0
CopeCk,1,330,33,100,10,0,0,0
CopeCk,1,340,34,100,0,5,0,0
CopeCk,1,350,35,100,0,2.5,0,0
CopeCk,1,360,36,100,0,2.5,0,0
CopeCk,1,370,37,100,0,5,0,0
CopeCk,1,380,38,100,0,2.5,0,0
CopeCk,1,390,39,100,0,2.5,0,0
CopeCk,1,400,40,100,0,5,0,0
CopeCk,1,410,41,100,0,5,0,0
CopeCk,1,420,42,100,0,5,0,0
CopeCk,1,430,43,100,0,2.5,0,0
CopeCk,1,440,44,100,0,2.5,0,0
CopeCk,1,450,45,100,0,5,0,0
CopeCk,1,460,46,100,0,0,0,0
CopeCk,1,470,47,100,0,20,0,0
CopeCk,1,480,48,100,0,20,0,0
CopeCk,1,490,49,100,0,5,0,0
CopeCk,1,500,50,100,0,2.5,0,0
CopeCk,1,510,51,100,0,5,0,0
CopeCk,1,520,52,100,0,10,0,0
CopeCk,1,530,53,100,5,5,0,0
CopeCk,1,540,54,100,20,5,0,0
CopeCk,1,550,55,100,30,10,2.5,0
CopeCk,1,560,56,100,80,0,20,80
CopeCk,1,570,57,100,40,0,80,30
CopeCk,1,580,58,100,0,0,90,10
CopeCk,1,590,59,83.33333333,0,0,90,20
CopeCk,1,600,60,83.33333333,0,0,50,30
CopeCk,1,610,61,50,0,0,40,20
CopeCk,1,620,62,50,0,0,20,20
CopeCk,1,630,63,50,10,0,40,30
CopeCk,1,640,64,50,5,5,20,40
CopeCk,1,650,65,50,0,5,70,40
CopeCk,1,660,66,50,0,0,80,20
CopeCk,1,670,67,33.33333333,0,0,70,5
CopeCk,1,680,68,50,0,0,70,20
CopeCk,1,690,69,100,0,0,40,60
CopeCk,1,700,70,100,0,0,70,60
CopeCk,1,710,71,100,5,5,5,20
CopeCk,1,720,72,100,0,10,0,0
CopeCk,1,730,73,100,0,30,0,0
CopeCk,1,740,74,100,0,40,0,0
CopeCk,1,750,75,100,0,40,0,0
CopeCk,1,760,76,100,0,20,0,0
CopeCk,1,770,77,100,0,30,0,0
CopeCk,1,780,78,100,0,20,0,0
CopeCk,1,790,79,100,0,40,0,0
CopeCk,1,800,80,100,10,0,0,0
CopeCk,1,810,81,100,50,5,0,0
CopeCk,1,820,82,100,20,5,0,0
CopeCk,1,830,83,100,30,5,0,0
CopeCk,1,840,84,100,30,5,0,0
CopeCk,1,850,85,100,0,20,2.5,0
CopeCk,1,860,86,100,2.5,5,30,10
CopeCk,1,870,87,100,5,0,20,40
CopeCk,1,880,88,100,10,10,10,40
CopeCk,1,890,89,100,30,5,20,40
CopeCk,1,900,90,100,20,0,20,30
CopeCk,1,910,91,100,0,0,10,20
CopeCk,1,920,92,100,0,0,30,10
CopeCk,1,930,93,100,0,0,20,20
CopeCk,1,940,94,100,20,0,10,40
CopeCk,1,950,95,100,30,0,60,20
CopeCk,1,960,96,100,40,0,5,0
CopeCk,1,970,97,100,20,10,5,0
CopeCk,1,980,98,100,10,60,0,0
CopeCk,1,990,99,100,20,50,0,0
CopeCk,1,1000,100,100,40,20,20,60
CopeCk,1,1010,101,100,5,0,40,50
CopeCk,1,1020,102,100,0,0,80,60
CopeCk,1,1030,103,100,20,5,30,70
CopeCk,1,1040,104,100,30,0,30,60
CopeCk,1,1050,105,100,0,0,10,70
CopeCk,1,1060,106,100,10,5,10,80
CopeCk,1,1070,107,100,0,10,5,90
CopeCk,1,1080,108,100,0,30,20,5
CopeCk,1,1090,109,100,0,20,0,0
CopeCk,1,1100,110,100,0,50,0,0
CopeCk,1,1110,111,100,0,60,0,0
CopeCk,1,1120,112,100,0,60,0,0
CopeCk,1,1130,113,100,0,50,0,0
CopeCk,1,1140,114,100,0,50,0,0
CopeCk,1,1150,115,100,0,40,0,0
CopeCk,1,1160,116,100,0,20,30,0
CopeCk,1,1170,117,100,0,10,10,0
CopeCk,1,1180,118,100,10,5,0,0
CopeCk,1,1190,119,100,50,5,0,0
CopeCk,1,1200,120,100,40,5,0,0
CopeCk,1,1210,121,100,0,5,0,0
CopeCk,1,1220,122,100,0,20,0,0
CopeCk,1,1230,123,100,0,60,0,0
CopeCk,1,1240,124,100,0,40,0,0
CopeCk,1,1250,125,100,0,50,0,0
CopeCk,1,1260,126,100,0,30,0,0
CopeCk,1,1270,127,100,10,10,0,0
CopeCk,1,1280,128,83.33333333,5,10,0,5
CopeCk,1,1290,129,83.33333333,0,10,40,30
CopeCk,1,1300,130,83.33333333,30,0,20,0
CopeCk,1,1310,131,83.33333333,0,5,50,20
CopeCk,1,1320,132,83.33333333,0,0,50,2.5
CopeCk,1,1330,133,83.33333333,0,0,50,0
CopeCk,1,1340,134,83.33333333,0,10,0,0
CopeCk,1,1350,135,83.33333333,0,0,0,0
CopeCk,1,1360,136,83.33333333,0,10,10,20
CopeCk,1,1370,137,83.33333333,30,0,20,20
CopeCk,1,1380,138,83.33333333,0,5,20,20
CopeCk,1,1390,139,83.33333333,0,5,70,30
CopeCk,1,1400,140,83.33333333,30,5,20,0
CopeCk,1,1410,141,83.33333333,0,5,10,0
CopeCk,1,1420,142,83.33333333,10,4,20,0
CopeCk,1,1430,143,83.33333333,20,0,20,0
CopeCk,1,1440,144,83.33333333,20,0,30,0
CopeCk,1,1450,145,83.33333333,0,0,30,20
CopeCk,1,1460,146,83.33333333,0,5,20,10
CopeCk,1,1470,147,83.33333333,0,5,5,30
CopeCk,1,1480,148,83.33333333,5,10,10,70
CopeCk,1,1490,149,83.33333333,5,0,20,70
CopeCk,1,1500,150,83.33333333,0,5,50,70
CopeCk,1,1510,151,83.33333333,0,20,30,70
CopeCk,1,1520,152,83.33333333,0,5,20,70
CopeCk,1,1530,153,83.33333333,0,10,40,60
CopeCk,1,1540,154,83.33333333,10,20,50,20
CopeCk,1,1550,155,83.33333333,0,5,20,10
CopeCk,1,1560,156,83.33333333,0,10,20,30
CopeCk,1,1570,157,83.33333333,30,0,0,0
CopeCk,1,1580,158,83.33333333,40,0,0,0
CopeCk,1,1590,159,83.33333333,0,20,0,0
CopeCk,1,1600,160,83.33333333,0,20,0,0
CopeCk,1,1610,161,83.33333333,0,5,60,5
CopeCk,1,1620,162,83.33333333,10,0,100,50
CopeCk,1,1630,163,83.33333333,5,10,30,50
CopeCk,1,1640,164,83.33333333,10,10,0,30
CopeCk,1,1650,165,83.33333333,10,0,40,20
CopeCk,1,1660,166,83.33333333,20,0,20,80
CopeCk,1,1670,167,83.33333333,10,10,0,90
CopeCk,1,1680,168,83.33333333,40,5,0,40
CopeCk,1,1690,169,83.33333333,10,0,0,5
CopeCk,1,1700,170,83.33333333,60,0,0,0
CopeCk,1,1710,171,83.33333333,0,0,0,0
CopeCk,1,1720,172,83.33333333,0,20,0,0
CopeCk,1,1730,173,83.33333333,0,10,50,0
CopeCk,1,1740,174,83.33333333,0,10,40,0
